FACILITY_ID,FACILITY_NAME,FACILITY_TYPE,REGION_CD,ADDRESS_LINE,CITY,STATE_CD,ZIP_CD,BED_CNT,TRAUMA_LEVEL,EFFECTIVE_DT,ACTIVE_FLG
HDS-F001,Meridale Valley Medical Center,ACUTE_CARE_HOSPITAL,CENTRAL,1200 Meridale Pkwy,Chicago,IL,60601,420,I,2015-01-01,Y
HDS-F002,Meridale Valley Pediatric Hospital,CHILDRENS_HOSPITAL,CENTRAL,1250 Meridale Pkwy,Chicago,IL,60601,180,II,2016-07-01,Y
HDS-F003,Cedarbrook Community Hospital,ACUTE_CARE_HOSPITAL,CENTRAL,455 Cedarbrook Rd,Naperville,IL,60540,210,III,2012-03-15,Y
HDS-F004,Lonestar Crossing Regional Medical Center,ACUTE_CARE_HOSPITAL,SOUTH,800 Commerce St,Dallas,TX,75201,510,I,2010-05-01,Y
HDS-F005,Lonestar Crossing Surgery Center,AMBULATORY_SURGERY_CENTER,SOUTH,820 Commerce St,Dallas,TX,75201,0,NA,2018-02-01,Y
HDS-F006,Gulfhaven Rehabilitation Institute,REHABILITATION,SOUTH,3100 Bay Area Blvd,Houston,TX,77058,90,NA,2014-09-01,Y
HDS-F007,Desert Willowmere Medical Center,ACUTE_CARE_HOSPITAL,WEST,2400 Camelback Rd,Phoenix,AZ,85016,350,II,2011-11-01,Y
HDS-F008,Desert Willowmere Urgent Care,URGENT_CARE,WEST,15 Scottsdale Rd,Scottsdale,AZ,85251,0,NA,2019-04-15,Y
HDS-F009,Pacific Tidemark Hospital,ACUTE_CARE_HOSPITAL,WEST,900 Harbor View Dr,San Diego,CA,92101,300,II,2013-06-01,Y
HDS-F010,Pacific Tidemark Imaging Center,IMAGING_CENTER,WEST,910 Harbor View Dr,San Diego,CA,92101,0,NA,2020-01-01,Y
HDS-F011,Evervale Behavioral Health Center,BEHAVIORAL_HEALTH,WEST,77 Pine St,Seattle,WA,98101,120,NA,2017-08-01,Y
HDS-F012,Summitline Peak Medical Center,ACUTE_CARE_HOSPITAL,WEST,5000 Mountain View Ave,Denver,CO,80202,380,I,2009-10-01,Y
HDS-F013,Riverholm Skilled Nursing Facility,SKILLED_NURSING,CENTRAL,610 Riverholm Ln,Columbus,OH,43215,140,NA,2016-03-01,Y
HDS-F014,Great Lakes Cardiac Institute,SPECIALTY_HOSPITAL,CENTRAL,2200 Lakeshore Dr,Detroit,MI,48226,160,NA,2015-05-01,Y
HDS-F015,Peachwood General Hospital,ACUTE_CARE_HOSPITAL,EAST,1500 Peachtree St,Atlanta,GA,30309,450,I,2008-01-01,Y
HDS-F016,Peachwood Outpatient Surgery,AMBULATORY_SURGERY_CENTER,EAST,1520 Peachtree St,Atlanta,GA,30309,0,NA,2019-09-01,Y
HDS-F017,Biscayne Shores Medical Center,ACUTE_CARE_HOSPITAL,EAST,3000 Biscayne Blvd,Miami,FL,33137,400,II,2012-12-01,Y
HDS-F018,Tryon Park Hospital,ACUTE_CARE_HOSPITAL,EAST,700 Tryon St,Charlotte,NC,28202,260,III,2014-02-01,Y
HDS-F019,Riverholm Urgent Care Downtown,URGENT_CARE,CENTRAL,15 High St,Columbus,OH,43215,0,NA,2018-06-01,N
HDS-F020,Keystone Hollow Hospital,ACUTE_CARE_HOSPITAL,EAST,400 Market St,Philadelphia,PA,19106,330,II,2011-04-01,Y
