PLAN_ID,PLAN_NAME,PAYER_NAME,PLAN_TYPE,LINE_OF_BUSINESS,METAL_TIER,NETWORK_CD,STATE_CD,DEDUCTIBLE_AMT,OOP_MAX_AMT,EFFECTIVE_DT,TERMINATION_DT,ACTIVE_FLG
IHP-P001,Summitline Choice HMO Gold,Summitline Mutual Health,HMO,COMMERCIAL,GOLD,SML-HMO-IL,IL,1000,4500,2026-01-01,9999-12-31,Y
IHP-P002,Summitline Open Access PPO Silver,Summitline Mutual Health,PPO,COMMERCIAL,SILVER,SML-PPO-IL,IL,3000,7500,2026-01-01,9999-12-31,Y
IHP-P003,Summitline Saver HDHP Bronze,Summitline Mutual Health,HDHP,EXCHANGE,BRONZE,SML-EXC-IL,IL,7000,9200,2026-01-01,9999-12-31,Y
IHP-P004,Summitline Medicare Advantage HMO,Summitline Mutual Health,HMO,MEDICARE_ADVANTAGE,NA,SML-MA-IL,IL,0,5900,2026-01-01,9999-12-31,Y
IHP-P005,Evervale Lonestar PPO Platinum,Evervale Health Assurance,PPO,COMMERCIAL,PLATINUM,EVH-PPO-TX,TX,500,3000,2026-01-01,9999-12-31,Y
IHP-P006,Evervale Texas Medicaid Managed Care,Evervale Health Assurance,HMO,MEDICAID,NA,EVH-MCD-TX,TX,0,0,2025-09-01,9999-12-31,Y
IHP-P007,Evervale Silver EPO,Evervale Health Assurance,EPO,EXCHANGE,SILVER,EVH-EXC-TX,TX,4500,8500,2026-01-01,9999-12-31,Y
IHP-P008,Evervale Medicare Advantage PPO,Evervale Health Assurance,PPO,MEDICARE_ADVANTAGE,NA,EVH-MA-TX,TX,250,7200,2026-01-01,9999-12-31,Y
IHP-P009,Harborline Pacific HMO Gold,Harborline Insurance Co,HMO,COMMERCIAL,GOLD,HBL-HMO-CA,CA,750,4000,2026-01-01,9999-12-31,Y
IHP-P010,Harborline Pacific PPO Silver,Harborline Insurance Co,PPO,COMMERCIAL,SILVER,HBL-PPO-CA,CA,2500,7000,2026-01-01,9999-12-31,Y
IHP-P011,Harborline Coastal POS Gold,Harborline Insurance Co,POS,COMMERCIAL,GOLD,HBL-POS-WA,WA,1500,5500,2026-01-01,9999-12-31,Y
IHP-P012,Harborline Desert Exchange Bronze,Harborline Insurance Co,EPO,EXCHANGE,BRONZE,HBL-EXC-AZ,AZ,7500,9200,2026-01-01,9999-12-31,Y
IHP-P013,Harborline Rockies HDHP Bronze,Harborline Insurance Co,HDHP,COMMERCIAL,BRONZE,HBL-HDHP-CO,CO,3300,8000,2026-01-01,9999-12-31,Y
IHP-P014,Pinnacrest Peach State HMO Silver,Pinnacrest Care Plans,HMO,COMMERCIAL,SILVER,PCP-HMO-GA,GA,2000,6500,2026-01-01,9999-12-31,Y
IHP-P015,Pinnacrest Sunshine Medicare Advantage,Pinnacrest Care Plans,HMO,MEDICARE_ADVANTAGE,NA,PCP-MA-FL,FL,0,4900,2026-01-01,9999-12-31,Y
IHP-P016,Pinnacrest Carolina PPO Gold,Pinnacrest Care Plans,PPO,COMMERCIAL,GOLD,PCP-PPO-NC,NC,1250,5000,2026-01-01,9999-12-31,Y
IHP-P017,Pinnacrest Keystone Medicaid,Pinnacrest Care Plans,HMO,MEDICAID,NA,PCP-MCD-PA,PA,0,0,2024-01-01,9999-12-31,Y
IHP-P018,Pinnacrest Legacy PPO Silver 2025,Pinnacrest Care Plans,PPO,COMMERCIAL,SILVER,PCP-PPO-OH,OH,2800,7800,2025-01-01,2025-12-31,N
